,Participation.#,Sum.Amount,Date.Submitted,Date.Mailed,Name.1,Address.1,City,St,Postal,year_submitted,month_submitted,year_mailed,month_mailed,period,long_duration,class
14636,1080700,60,2023-01-01,2023-12-15T00:00:00.000,CATHOLIC WOMEN'S ORGANIZATION,15410 LEAVENWORTH RD,BASEHOR,KS,66007,2023,1,2023,12,348,1,Religious Organization
14635,1100265,60,2023-01-01,2023-12-15T00:00:00.000,JR CLIO CLUB,522 N High St,Mankato,KS,66956,2023,1,2023,12,348,1,Community
14633,2121260,150,2023-01-01,2023-12-15T00:00:00.000,LIGHTHOUSE PENTECOSTAL CHURCH,PO BOX 185,EAGLE ROCK,MO,65641,2023,1,2023,12,348,1,Religious Organization
14628,1031420,60,2023-01-01,2023-12-15T00:00:00.000,CHRISTIAN WOMEN'S FELLOWSHIP,1980 10TH RD. S.E.,LE ROY,KS,66857,2023,1,2023,12,348,1,Religious Organization
14623,1031495,90,2023-01-01,2023-12-15T00:00:00.000,CENTRAL AVE CENTER OF HOPE,11 N. 15TH ST.,KANSAS CITY,KS,66102,2023,1,2023,12,348,1,Community
14622,2061413,120,2023-01-01,2023-12-15T00:00:00.000,FIRST CHRISTIAN CHURCH,3448 County Rd 3780,Willow Springs,MO,65793,2023,1,2023,12,348,1,Religious Organization
14621,1032215,120,2023-01-01,2023-12-15T00:00:00.000,COMMUNITY BIBLE CHURCH HSYG,1400 N CEDAR ST,ABILENE,KS,67410,2023,1,2023,12,348,1,Religious Organization
14615,1130982,120,2023-01-01,2023-12-15T00:00:00.000,WEST CENTRAL MISSOURI COMMUNITY ACTION A,112 W 4TH ST,APPLETON CITY,MO,64724,2023,1,2023,12,348,1,Community
14572,1190688,60,2023-01-01,2023-12-08T00:00:00.000,ST. JAMES LUTHERAN FOOD PANTRY,1104 NE VIVION RD.,KANSAS CITY,MO,64118,2023,1,2023,12,341,1,Religious Organization
14613,2192685,60,2023-01-01,2023-12-15T00:00:00.000,ST. ANDREWS LUTHERAN CHURCH,14980 E. 1866 ROAD,STOCKTON,MO,65785,2023,1,2023,12,348,1,Religious Organization
14611,2100433,90,2023-01-01,2023-12-15T00:00:00.000,JOPLIN HEIGHTS BAPTIST CHURCH,2107 S. WILLARD,JOPLIN,MO,64804,2023,1,2023,12,348,1,Religious Organization
14609,2200510,60,2023-01-01,2023-12-15T00:00:00.000,ASSEMBLY OF GOD WOMEN MISSIONA,712 W Tenth St,Coffeyville,KS,67337,2023,1,2023,12,348,1,Religious Organization
14608,1131118,90,2023-01-01,2023-12-15T00:00:00.000,PROMISE POINT BAPTIST CHURCH,5214 Charity Rd,Elkland,MO,65644,2023,1,2023,12,348,1,Religious Organization
14597,1231613,60,2023-01-01,2023-12-15T00:00:00.000,MONITEAU CHRISTIAN MINISTRIES,63115 KIELY FORD RD.,CALIFORNIA,MO,65018,2023,1,2023,12,348,1,Religious Organization
14596,2120749,60,2023-01-01,2023-12-15T00:00:00.000,UNITED CHURCH OF CHRIST MEN BR,29143 Brush Creek Rd,California,MO,65018,2023,1,2023,12,348,1,Religious Organization
14594,1030035,60,2023-01-01,2023-12-15T00:00:00.000,CALIFORNIA UCC WOMENS GUILD,101 N. OAK ST.,CALIFORNIA,MO,65018,2023,1,2023,12,348,1,Community
14589,1121450,120,2023-01-01,2023-12-08T00:00:00.000,LUTHERAN SCHOOL ASSOCIATION,204 E. BUTTERFIELD,COLE CAMP,MO,65325,2023,1,2023,12,341,1,Religious Organization
14582,1193300,60,2023-01-01,2023-12-08T00:00:00.000,TRINITY LUTHERAN CHURCH WOMEN,15809 HWY N,STOVER,MO,65078,2023,1,2023,12,341,1,Religious Organization
14580,1210090,90,2023-01-01,2023-12-08T00:00:00.000,UNITED CHURCH OF CHRIST WOMEN,PO Box 389,Carbondale,KS,66414,2023,1,2023,12,341,1,Religious Organization
14579,1260030,90,2023-01-01,2023-12-08T00:00:00.000,ZION LUTHERAN CHURCH LADIES AIDE,PO Box 278,Lincoln,MO,65338,2023,1,2023,12,341,1,Religious Organization
14578,2121075,90,2023-01-01,2023-12-08T00:00:00.000,NEW FRIENDSHIP BAPTIST CHURCH,6590 HIGHWAY H,GERALD,MO,63037,2023,1,2023,12,341,1,Religious Organization
14574,2060070,60,2023-01-01,2023-12-08T00:00:00.000,JOHN L. PATTERSON CHPTR UDC,2004 CHAPEL WOOD RD,COLUMBIA,MO,65203,2023,1,2023,12,341,1,Religious Organization
14810,1220180,60,2023-01-01,2024-01-05T00:00:00.000,VICTORY HILLS BAPTIST CHURCH,PO BOX 4310,KANSAS CITY,KS,66104,2023,1,2024,1,369,1,Religious Organization
14669,2034000,120,2023-01-01,2023-12-27T00:00:00.000,CUBA SENIOR CENTER,206 NORTH SMITH ST.,CUBA,MO,65453,2023,1,2023,12,360,1,Community
14816,2021389,60,2023-01-01,2024-01-05T00:00:00.000,BETHLEHEM BAPT CHURCH GROUP,160 PCR 350,PERRYVILLE,MO,63775,2023,1,2024,1,369,1,Religious Organization
14961,1210275,60,2023-01-01,2024-01-29T00:00:00.000,UNITED METHODIST CHURCH,109 Osage Ave PO Box 77,Rockville,MO,64780,2023,1,2024,1,393,1,Religious Organization
14986,1120820,60,2023-01-01,2024-01-29T00:00:00.000,LIBERTY MANOR BAPTIST CHURCH,1000 BIRMINGHAM RD.,LIBERTY,MO,64068,2023,1,2024,1,393,1,Religious Organization
14985,2131193,60,2023-01-01,2024-01-29T00:00:00.000,MILLER COUNTY CARE CENTER,1157 HWY 17,TUSCUMBIA,MO,65082,2023,1,2024,1,393,1,Community
14983,1090045,60,2023-01-01,2024-01-29T00:00:00.000,JEFF COUNTY CHPT- NAT A.R.F.E.,9798 Nemaha Rd,Oskaloosa,KS,66066,2023,1,2024,1,393,1,Religious Organization
14979,1121230,60,2023-01-01,2024-01-29T00:00:00.000,LONDON HEIGHTS BAPTIST CHURCH,734 N. 78th STREET,KANSAS CITY,KS,66112,2023,1,2024,1,393,1,Religious Organization
14976,2131267,60,2023-01-01,2024-01-29T00:00:00.000,ST PHILLIPINE DUCHESNE CATHOLIC CHURCH A,12632 Grandview St,Overland Park,KS,66213,2023,1,2024,1,393,1,Religious Organization
14974,1021388,60,2023-01-01,2024-01-29T00:00:00.000,EDMONSON BAPTIST CHURCH,27109 HIGHWAY H,LINCOLN,MO,65338,2023,1,2024,1,393,1,Religious Organization
14973,2131190,90,2023-01-01,2024-01-29T00:00:00.000,CATHOLIC CHARITIES HELPING CENTER,PO Box 1321,Sallisaw,OK,74955,2023,1,2024,1,393,1,Religious Organization
14969,1193190,60,2023-01-01,2024-01-29T00:00:00.000,ST GABRIEL CATHOLIC CHURCH,4737 N. CLEVELAND AVE.,KANSAS CITY,MO,64117,2023,1,2024,1,393,1,Religious Organization
14968,1022135,60,2023-01-01,2024-01-29T00:00:00.000,BUSY BEE HOBBY CLUB,13097 S STUBBS RD,OVERBROOK,KS,66524,2023,1,2024,1,393,1,Community
14966,1197393,60,2023-01-01,2024-01-29T00:00:00.000,TRINITY LUTHERAN LWML,1552 S Rd,Hunter,KS,67452,2023,1,2024,1,393,1,Religious Organization
14965,2161695,60,2023-01-01,2024-01-29T00:00:00.000,CHENEY BAPT LADIES FELLOWSHIP,PO Box 350,CHENEY,KS,67025,2023,1,2024,1,393,1,Religious Organization
14963,1210200,90,2023-01-01,2024-01-29T00:00:00.000,UNTD METHODIST SEWING CIRCLE,617 JARBOE ST,BURLINGTON,KS,66839,2023,1,2024,1,393,1,Religious Organization
14962,1161187,60,2023-01-01,2024-01-29T00:00:00.000,PRESCOTT UNITED METHODIST CHUR,PO Box 224,Prescott,KS,66767,2023,1,2024,1,393,1,Religious Organization
14959,2061007,120,2023-01-01,2024-01-29T00:00:00.000,FIRST BAPTIST CHURCH COLE CAMP,PO BOX 176,COLE CAMP,MO,65325,2023,1,2024,1,393,1,Religious Organization
14931,1131285,90,2023-01-01,2024-01-12T00:00:00.000,MORRILL BAPTIST WMS,404 WALNUT ST.,MORRILL,KS,66515,2023,1,2024,1,376,1,Religious Organization
14958,1030131,120,2023-01-01,2024-01-22T00:00:00.000,CALVARY LUTHERAN LADIES GUILD,510 COLUMBIA,COUNCIL GROVE,KS,66846,2023,1,2024,1,386,1,Religious Organization
14954,2132483,60,2023-01-01,2024-01-22T00:00:00.000,MUSKOGEE AREA QUILTER GUILD,PO Box 365,Muskogee,OK,74402,2023,1,2024,1,386,1,Community
14951,2140990,150,2023-01-01,2024-01-22T00:00:00.000,NOBLE GENRL BAPTST YOUTH GROUP,15588 STATE HWY 95 - S,WASOLA,MO,65773,2023,1,2024,1,386,1,Religious Organization
14949,3005407,60,2023-01-01,2024-01-22T00:00:00.000,ST. ALLEN FAMILY CHRISTIAN UNI,PO BOX 3901,ENID,OK,73754,2023,1,2024,1,386,1,Religious Organization
14947,2080899,60,2023-01-01,2024-01-22T00:00:00.000,FOUNDATION FREE WILL BAPT. CHR,PO BOX 450546,GROVE,OK,74344,2023,1,2024,1,386,1,Religious Organization
14946,1230555,60,2023-01-01,2024-01-22T00:00:00.000,ST. JOHN LUTHERAN,2040 10TH RD,LEROY,KS,66857,2023,1,2024,1,386,1,Religious Organization
14944,2160200,60,2023-01-01,2024-01-22T00:00:00.000,HOLY FAMILY CATHOLIC CHURCH,PO BOX 229,SHELL KNOB,MO,65747,2023,1,2024,1,386,1,Religious Organization
14943,3034150,60,2023-01-01,2024-01-22T00:00:00.000,FAMILY & COMMUNITY EDUCATION,13782 WEST 750 RD.,TAHLEQUAH,OK,74464,2023,1,2024,1,386,1,Community
14942,1196157,60,2023-01-01,2024-01-22T00:00:00.000,ST GEORGE CHURCH ALTAR SOCIETY,926 W Dryden St,Odessa,MO,64076,2023,1,2024,1,386,1,Religious Organization
14941,1131011,60,2023-01-01,2024-01-22T00:00:00.000,TRINITY LUTHERAN WOMEN,204 N Pine St,Norborne,MO,64668,2023,1,2024,1,386,1,Religious Organization
14940,2080214,60,2023-01-01,2024-01-22T00:00:00.000,ELM GROVE CHURCH,P.O. BOX 295,ROGERSVILLE,MO,65742,2023,1,2024,1,386,1,Religious Organization
14939,1060201,60,2023-01-01,2024-01-22T00:00:00.000,FAITH LUTHERAN LWML,805 E. LEXINGTON ST.,RICHMOND,MO,64085,2023,1,2024,1,386,1,Religious Organization
14938,1060010,60,2023-01-01,2024-01-22T00:00:00.000,FAIRMOUNT UNITED METH. CHURCH,15525 HOLLINGSWORTH RD.,BASEHOR,KS,66007,2023,1,2024,1,386,1,Religious Organization
14989,2040046,120,2023-01-01,2024-01-29T00:00:00.000,DISABLED AMERICAN VETERANS AUX,PO Box 1631,BUFFALO,MO,65622,2023,1,2024,1,393,1,Community
14990,1193521,60,2023-01-01,2024-07-29T00:00:00.000,FIRST CHRISTIAN CHURCH,301 S. MAIN ST.,HOLDEN,MO,64040,2023,1,2024,7,575,1,Religious Organization
14991,2033502,90,2023-01-01,2024-02-02T00:00:00.000,WESLEY MISSIONS,1003 JEFFERSON,FREDONIA,KS,66736,2023,1,2024,2,397,1,Religious Organization
14994,1060460,30,2023-01-01,2024-07-29T00:00:00.000,CHRISTIAN WOMEN'S SOCIETY,65 N. EAGLE LANE,MOUND CITY,KS,66056,2023,1,2024,7,575,1,Religious Organization
15042,1004265,60,2023-01-01,2024-05-03T00:00:00.000,GARRIOT RD CHURCH OF CHRIST,3601 W Owen K Garriott Rd,ENID,OK,73703,2023,1,2024,5,488,1,Religious Organization
15041,2009221,60,2023-01-01,2024-05-03T00:00:00.000,CUBA FREE WILL BAPTIST WOM AUX,1637 Lakeshore Dr,Cuba,MO,65453,2023,1,2024,5,488,1,Religious Organization
15040,1190790,60,2023-01-01,2024-05-03T00:00:00.000,BEVIER BAPTIST CHURCH,329 W Livingston St,Bevier,MO,63532,2023,1,2024,5,488,1,Religious Organization
15039,1021921,60,2023-01-01,2024-05-03T00:00:00.000,ST BONIFACE CATHOLIC CHURCH,203 E HARRISON ST,BRUNSWICK,MO,65236,2023,1,2024,5,488,1,Religious Organization
14818,2150420,180,2023-01-01,2024-01-05T00:00:00.000,MARSHFIELD SENIOR CENTER,PO Box 305,Marshfield,MO,65706,2023,1,2024,1,369,1,Community
15035,1060460,60,2023-01-01,2024-05-03T00:00:00.000,CHRISTIAN WOMEN'S SOCIETY,65 N. EAGLE LANE,MOUND CITY,KS,66056,2023,1,2024,5,488,1,Religious Organization
15034,1021483,60,2023-01-01,2024-05-03T00:00:00.000,BAPTIST WOMEN,404 W. RUTLEDGE ST.,YATES CENTER,KS,66783,2023,1,2024,5,488,1,Religious Organization
15032,1130170,60,2023-01-01,2024-02-02T00:00:00.000,MAPLETON METHODIST CHURCH,1098 HWY 65,MAPLETON,KS,66754,2023,1,2024,2,397,1,Religious Organization
15031,1160387,60,2023-01-01,2024-02-02T00:00:00.000,PEACE LUTHERAN LWMS,846 W Jefferson St,Marshfield,MO,65706,2023,1,2024,2,397,1,Religious Organization
15030,2120735,60,2023-01-01,2024-02-02T00:00:00.000,ST PAULS LUTHERAN EVENING GUI,207 N Owen St,California,MO,65018,2023,1,2024,2,397,1,Religious Organization
15029,2121021,60,2023-01-01,2024-02-02T00:00:00.000,BOONE CREEK BAPTIST CHURCH,19478 Oscar Rd,Licking,MO,65542,2023,1,2024,2,397,1,Religious Organization
15026,1060832,60,2023-01-01,2024-02-02T00:00:00.000,FAITH BAPTIST WMU,PO BOX 345,HARRISONVILLE,MO,64701,2023,1,2024,2,397,1,Religious Organization
15025,1131547,90,2023-01-01,2024-02-02T00:00:00.000,FIRST UNITED METHODIST CHURCH OF SEDALIA,1701 W 32nd St,Sedalia,MO,65301,2023,1,2024,2,397,1,Religious Organization
15023,2032615,60,2023-01-01,2024-02-02T00:00:00.000,KECHI UNITED METHODIST CHURCH,4533 E 61st St N,Kechi,KS,67067,2023,1,2024,2,397,1,Religious Organization
15019,1131000,60,2023-01-01,2024-02-02T00:00:00.000,MISSIONARY CIRCLE-ARMOURDALE,3131 W 43rd Ave,Kansas City,KS,66103,2023,1,2024,2,397,1,Religious Organization
15015,1190823,60,2023-01-01,2024-02-02T00:00:00.000,SHAWNEE COMMUNITY SERVICES,11110 W 67th St,Shawnee,KS,66203,2023,1,2024,2,397,1,Community
15012,1131560,60,2023-01-01,2024-07-29T00:00:00.000,FAITH UNITED CHURCH,3025 Karnes Rd,Saint Joseph,MO,64506,2023,1,2024,7,575,1,Religious Organization
15009,1201310,60,2023-01-01,2024-02-02T00:00:00.000,LWML - TRINITY LUTHERAN,2101 10TH AVENUE,LEAVENWORTH,KS,66048,2023,1,2024,2,397,1,Religious Organization
15005,2030732,90,2023-01-01,2024-02-02T00:00:00.000,CROSS POINT FAMILY CHURCH,209 Haynes,Campbell,MO,63933,2023,1,2024,2,397,1,Religious Organization
15004,2231944,30,2023-01-01,2024-07-29T00:00:00.000,BETHEL CHURCH WOMENS GROUP,4228 County Road 7100,West Plains,MO,65775,2023,1,2024,7,575,1,Religious Organization
15003,1230293,60,2023-01-01,2024-07-29T00:00:00.000,WMU SOCIETY - FIRST BAPT CHURC,PO BOX 102,ADRIAN,MO,64720,2023,1,2024,7,575,1,Religious Organization
15001,1235475,60,2023-01-01,2024-02-02T00:00:00.000,GENERAL BAPTIST,18060 ST HWY Z,BERNIE,MO,63822,2023,1,2024,2,397,1,Religious Organization
15000,1110272,60,2023-01-01,2024-07-29T00:00:00.000,KEARNEY SADDLE CLUB,15620 LONG RD,SMITHVILLE,MO,64089,2023,1,2024,7,575,1,Community
14999,1130666,60,2023-01-01,2024-02-02T00:00:00.000,FRATERNAL ORDER OF EAGLES AUXILIARY 1022,PO Box 434,Boonville,MO,65233,2023,1,2024,2,397,1,Community
14998,1110272,60,2023-01-01,2024-07-29T00:00:00.000,KEARNEY SADDLE CLUB,15620 LONG RD,SMITHVILLE,MO,64089,2023,1,2024,7,575,1,Community
14997,1130677,90,2023-01-01,2024-07-29T00:00:00.000,NEW TESTAMENT CHRISTIAN CHURCH,15 Elm Point Ln,Kimberling City,MO,65686,2023,1,2024,7,575,1,Religious Organization
14996,1130580,60,2023-01-01,2024-02-02T00:00:00.000,BETHANY EVANGELICAL LUTHERAN CHURCH OF L,320 N Main St,Lindsborg,KS,67456,2023,1,2024,2,397,1,Religious Organization
14932,2030394,60,2023-01-01,2024-01-12T00:00:00.000,SHELL KNOB CHURCH OF CHRIST,3145 STATE HWY 39,SHELL KNOB,MO,65747,2023,1,2024,1,376,1,Religious Organization
15036,2232270,60,2023-01-01,2024-05-03T00:00:00.000,W.H.F.M. CHURCH ORGANIZATION,228 CLAY ST.,IBERIA,MO,65486,2023,1,2024,5,488,1,Religious Organization
14929,1130460,60,2023-01-01,2024-01-12T00:00:00.000,PINE VIEW CHRISTIAN HOME,4281 Hwy 17,Summersville,MO,65571,2023,1,2024,1,376,1,Religious Organization
14864,2190617,120,2023-01-01,2024-01-05T00:00:00.000,SEDAN UNITED METHODIST WOMEN,302 N Chautauqua St,SEDAN,KS,67361,2023,1,2024,1,369,1,Religious Organization
14861,1190823,30,2023-01-01,2024-01-05T00:00:00.000,SHAWNEE COMMUNITY SERVICES,11110 W 67th St,Shawnee,KS,66203,2023,1,2024,1,369,1,Community
14859,2032560,60,2023-01-01,2024-01-05T00:00:00.000,CHURCH OF THE BRETHREN YOUTH,920 W. MYRTLE,INDEPENDENCE,KS,67301,2023,1,2024,1,369,1,Religious Organization
14858,1190589,60,2023-01-01,2024-01-05T00:00:00.000,PONY EXPRESS 4-H CLUB,2356 STATE HWY 63,SENECA,KS,66538,2023,1,2024,1,369,1,Community
14857,1180745,60,2023-01-01,2024-01-05T00:00:00.000,ROSEAN CLUB,2511 Road N,Emporia,KS,66801,2023,1,2024,1,369,1,Community
14855,1031370,60,2023-01-01,2024-01-05T00:00:00.000,CHRISTIAN WOMEN'S FELLOWSHIP,PO BOX 227,WINDSOR,MO,65360,2023,1,2024,1,369,1,Religious Organization
14854,2067525,60,2023-01-01,2024-01-05T00:00:00.000,FRIENDSHIP CLASS - 1ST BAPTIST,2612 County Road 203,Alton,MO,65606,2023,1,2024,1,369,1,Religious Organization
14853,1240020,30,2023-01-01,2024-01-05T00:00:00.000,PRECEPTOR ALPHA-BETA SIGMA PHI,902 Ash St,Abilene,KS,67410,2023,1,2024,1,369,1,Community
14849,1121725,60,2023-01-01,2024-01-05T00:00:00.000,LOUISBURG MINISTERIAL ALLIANCE,5660 JAYMAR CIRCLE,LOUISBURG,KS,66053,2023,1,2024,1,369,1,Community
14848,1200535,60,2023-01-01,2024-01-05T00:00:00.000,CLARENCE CHRISTIAN CHURCH,PO BOX 309,CLARENCE,MO,63437,2023,1,2024,1,369,1,Religious Organization
14847,1192350,60,2023-01-01,2024-01-05T00:00:00.000,"ST. JAMES ""OVER 50 GROUP""",1618 Welleslay Ln,LIBERTY,MO,64068,2023,1,2024,1,369,1,Community
14846,1050277,90,2023-01-01,2024-01-05T00:00:00.000,GILBERT MEMORIAL AME CHURCH,P.O. BOX 300316,KANSAS CITY,MO,64130,2023,1,2024,1,369,1,Religious Organization
14843,1024564,60,2023-01-01,2024-01-05T00:00:00.000,EDWARDSVILLE CHRISTIAN CHURCH,110 N 4th St,Edwardsville,KS,66111,2023,1,2024,1,369,1,Religious Organization
14842,3112166,120,2023-01-01,2024-01-05T00:00:00.000,WESTSIDE FREEWILL BAPTIST CHRC,P.O. BOX 158,SAPULPA,OK,74067,2023,1,2024,1,369,1,Religious Organization
14837,2191390,60,2023-01-01,2024-01-05T00:00:00.000,SO JOPLIN CHRISTIAN CHURCH CW,1901 S. PEARL,JOPLIN,MO,64804,2023,1,2024,1,369,1,Religious Organization
14836,1121010,90,2023-01-01,2024-01-05T00:00:00.000,LINN FAMILY WORSHIP CENTER,PO BOX 537,LINN,MO,65051,2023,1,2024,1,369,1,Community
14835,2993933,180,2023-01-01,2024-01-05T00:00:00.000,ST. JOHN'S LUTHERAN YOUTH GRP,2149 LUTHERAN CHURCH RD.,BEAUFORT,MO,63013,2023,1,2024,1,369,1,Religious Organization
14834,2008538,120,2023-01-01,2024-01-05T00:00:00.000,ST. BONIFACE CHURCH,20176 NW 2200 RD.,GARNETT,KS,66032,2023,1,2024,1,369,1,Religious Organization
14833,2061595,90,2023-01-01,2024-01-05T00:00:00.000,FIRST PRESBYTERIAN CHURCH YG,500 N. OLIVE ST.,NEVADA,MO,64772,2023,1,2024,1,369,1,Religious Organization
14832,1022044,90,2023-01-01,2024-01-05T00:00:00.000,ARLEY UNITED METHODIST CHURCH,17122 COUNTY ROAD C,KEARNEY,MO,64060,2023,1,2024,1,369,1,Religious Organization
14830,1210095,120,2023-01-01,2024-01-05T00:00:00.000,WOODLAWN CLUB,2047 144TH ROAD,SABETHA,KS,66534,2023,1,2024,1,369,1,Community
14827,2130412,60,2023-01-01,2024-01-05T00:00:00.000,CORNERSTONE CHURCH OF GOD WM,PO Box 449,Marionville,MO,65705,2023,1,2024,1,369,1,Religious Organization
14825,2121250,90,2023-01-01,2024-01-05T00:00:00.000,LIGHTHOUSE CHRISTIAN CENTER,PO BOX 296,STOCKTON,MO,65785,2023,1,2024,1,369,1,Religious Organization
14824,2145263,60,2023-01-01,2024-01-05T00:00:00.000,KERNS CHAPEL CHURCH,8459 Highway M,Poplar Bluff,MO,63901,2023,1,2024,1,369,1,Religious Organization
14823,1190602,60,2023-01-01,2024-01-05T00:00:00.000,COLUMBIA SENIOR CENTER,1121 BUSINESS LOOP 70 EAST,COLUMBIA,MO,65201,2023,1,2024,1,369,1,Community
14822,1071740,60,2023-01-01,2024-01-05T00:00:00.000,ADULT BIBLE STUDY CLASS,1995 Concord Rd,HADDAM,KS,66944,2023,1,2024,1,369,1,Religious Organization
14821,2100192,90,2023-01-01,2024-01-05T00:00:00.000,CENTER CITY CHRISTIAN OUTREACH,PO BOX 8176,SPRINGFIELD,MO,65801,2023,1,2024,1,369,1,Religious Organization
14928,1231060,60,2023-01-01,2024-01-12T00:00:00.000,PLEASANTON UNITED METHODIST WM,PO Box 384,PLEASANTON,KS,66075,2023,1,2024,1,376,1,Religious Organization
14863,2151023,60,2023-01-01,2024-01-05T00:00:00.000,OZARK ASSEMBLY OF GOD H2O STUD,P.O. BOX 1160,OZARK,MO,65721,2023,1,2024,1,369,1,Religious Organization
14856,1191900,60,2023-01-01,2024-01-05T00:00:00.000,STICK TO IT 4-H CLUB,2153 Concord Rd,Haddam,KS,66944,2023,1,2024,1,369,1,Community
14866,1090180,120,2023-01-01,2024-01-05T00:00:00.000,IMMANUEL PRESBYTERIAN CHURCH,3800 NE PARVIN RD,KANSAS CITY,MO,64117,2023,1,2024,1,369,1,Religious Organization
14893,1116508,60,2023-01-01,2024-01-05T00:00:00.000,KINGSTON COMMUNITY BETTERMENT,200 W Benton St,Kingston,MO,64650,2023,1,2024,1,369,1,Community
14924,2050401,90,2023-01-01,2024-01-12T00:00:00.000,CHARITY CHRISTIAN CHURCH,c/o Judy O'Bannon,ELKLAND,MO,65644,2023,1,2024,1,376,1,Religious Organization
14923,2253895,60,2023-01-01,2024-01-12T00:00:00.000,FAMILY OF CHRIST CHURCH,8394 Rt Y,Ashland,MO,65010,2023,1,2024,1,376,1,Religious Organization
14919,2165798,60,2023-01-01,2024-01-12T00:00:00.000,NEW HOPE BAPTIST CHURCH,PO BOX 1822,MANNFORD,OK,74044,2023,1,2024,1,376,1,Religious Organization
14914,2160220,90,2023-01-01,2024-01-12T00:00:00.000,ST. PETERS WOMENS COUNCIL,17083 S 1527 Rd,STOCKTON,MO,65785,2023,1,2024,1,376,1,Community
14820,1071397,60,2023-01-01,2024-01-05T00:00:00.000,HEBRON R.P. MISSIONARY FELLOW,1328 GOODIN DR.,CLAY CENTER,KS,67432,2023,1,2024,1,369,1,Religious Organization
14912,2071450,60,2023-01-01,2024-01-12T00:00:00.000,NEW FRANKLIN UNITED METHODIST,107 N Missouri St,New Franklin,MO,65274,2023,1,2024,1,376,1,Religious Organization
14911,1131107,60,2023-01-01,2024-01-12T00:00:00.000,1ST PRESBYTERIAN CHURCH,PO Box 243,Pleasanton,KS,66075,2023,1,2024,1,376,1,Religious Organization
14908,2033100,60,2023-01-01,2024-01-12T00:00:00.000,COMMUNITY CHRISTIAN CHURCH,PO Box 471,LINN,MO,65051,2023,1,2024,1,376,1,Religious Organization
14867,1191645,60,2023-01-01,2024-01-05T00:00:00.000,ST. MATTHEW LUTHERAN CHURCH,902 W. FT. SCOTT,BUTLER,MO,64730,2023,1,2024,1,369,1,Religious Organization
14905,2010189,60,2023-01-01,2024-01-12T00:00:00.000,CALVARY F.W.B. CHURCH,14390 S. 4210 RD.,CLAREMORE,OK,74017,2023,1,2024,1,376,1,Religious Organization
14904,1192490,60,2023-01-01,2024-01-12T00:00:00.000,ST JOSEPH GUILD,2600 SW 9th Ter,Lees Summit,MO,64081,2023,1,2024,1,376,1,Community
14901,2201391,90,2023-01-01,2024-01-05T00:00:00.000,MISSIONS OF MERCY FUND - LILBOURN GENERA,PO Box 698,Lilbourn,MO,63862,2023,1,2024,1,369,1,Religious Organization
14896,1201240,60,2023-01-01,2024-01-05T00:00:00.000,TRINITY LUTHERAN LADIES AID,35225 Block Rd,Paola,KS,66071,2023,1,2024,1,369,1,Religious Organization
14894,1121530,60,2023-01-01,2024-01-05T00:00:00.000,LUTHERAN WOMEN'S SOCIETY,1267 E Highway 7,CLINTON,MO,64735,2023,1,2024,1,369,1,Religious Organization
14906,2031920,60,2023-01-01,2024-01-12T00:00:00.000,FIRST CHRISTIAN CHURCH,21692 S 1900 Rd,Milo,MO,64767,2023,1,2024,1,376,1,Religious Organization
14890,2022570,90,2023-01-01,2024-01-05T00:00:00.000,BURNETT YOUTH GROUP,PO BOX H,DIXON,MO,65459,2023,1,2024,1,369,1,Community
14889,2140570,60,2023-01-01,2024-01-05T00:00:00.000,NEW LIFE CHURCH,120 W Adams St,THAYER,MO,65791,2023,1,2024,1,369,1,Religious Organization
14885,2132790,60,2023-01-01,2024-01-05T00:00:00.000,ST. LOUIS CATHOLIC CHURCH,2675 HWY A,BONNOTS MILL,MO,65016,2023,1,2024,1,369,1,Religious Organization
14884,1210387,90,2023-01-01,2024-01-05T00:00:00.000,UNITED METHODIST WOMEN,212 N. FOLGER ST.,CARROLLTON,MO,64633,2023,1,2024,1,369,1,Religious Organization
14883,2131249,60,2023-01-01,2024-01-05T00:00:00.000,WHETSTONE CHRISTIAN ACADEMY,8595 Old Highway 60,Mountain Grove,MO,65711,2023,1,2024,1,369,1,Religious Organization
14881,1210140,60,2023-01-01,2024-01-05T00:00:00.000,*OSKALOOSA UNITED METHODIST WM,P.O. BOX 588,OSKALOOSA,KS,66066,2023,1,2024,1,369,1,Religious Organization
14880,1130530,90,2023-01-01,2024-01-05T00:00:00.000,ELIM LUTHERAN CHURCH,403 Lincoln St,Marquette,KS,67464,2023,1,2024,1,369,1,Religious Organization
14876,2080964,60,2023-01-01,2024-01-05T00:00:00.000,HILLSIDE BAPTIST CHURCH WMU,6814 County Rd 373,Eucha,OK,74342,2023,1,2024,1,369,1,Religious Organization
14869,1061089,60,2023-01-01,2024-01-05T00:00:00.000,MISSION COMMITTEE/1ST PRSB CHR,21043 MT. MORIAH RD.,HIGGINSVILLE,MO,64037,2023,1,2024,1,369,1,Community
14875,2191622,60,2023-01-01,2024-01-05T00:00:00.000,TENNESSEE FRIENDS MISSION GRP,10650 SE GROVE RD.,GALENA,KS,66739,2023,1,2024,1,369,1,Community
14871,1131384,90,2023-01-01,2024-01-05T00:00:00.000,UNITED METHODIST WOMENS,PO BOX 190,MOUND CITY,KS,66056,2023,1,2024,1,369,1,Religious Organization
